timestamp,mic,accel_x,accel_y,accel_z
728,44,-0.24,0.55,8.75
1081,4,0.00,0.71,8.67
1410,3,-0.27,0.47,8.79
1753,8,-0.27,0.43,8.67
2095,9,-0.31,0.43,8.51
2438,8,-0.47,0.47,8.87
2781,2,-0.31,0.47,8.83
3124,1,-0.27,0.43,8.79
3467,7,-0.27,0.47,8.83
3809,7,0.08,0.12,8.90
4137,1,1.80,-0.24,11.57
4495,7,4.55,-2.67,10.63
4852,2,-3.26,5.53,7.26
5195,10,-1.22,1.96,8.36
5552,3,3.57,-2.08,10.51
5909,5,2.86,-0.43,9.18
6252,5,-0.82,1.49,12.32
6609,4,0.51,-0.24,6.79
6951,7,-2.16,4.51,6.98
7294,1,2.63,0.71,10.47
7638,3,2.16,1.14,8.00
7966,6,0.63,-0.43,9.65
8309,1,-1.18,2.94,8.24
8652,7,3.53,0.00,9.18
8980,3,-2.24,3.77,6.90
9323,14,-4.47,-0.75,10.20
9709,10,-0.63,1.96,9.53
10066,1,2.20,-0.71,9.69
10423,11,3.57,-2.55,10.08
10809,2,3.02,-3.18,9.61
11166,0,-4.35,2.31,7.92
11523,2,-5.81,0.98,6.67
11880,1,-2.94,1.29,7.49
12237,0,3.77,-0.67,9.89
12595,10,-1.77,2.00,9.26
12965,3,-0.35,0.67,9.61
13323,6,-4.24,-0.31,11.77
13709,6,5.14,-4.00,10.67
14081,16,4.63,-1.06,11.26
14466,3,0.16,0.43,6.32
14809,0,-2.63,-0.12,8.71
15180,3,-0.90,-1.77,9.18
15551,5,0.67,2.28,9.77
15894,13,0.24,4.08,8.90
16251,7,-1.73,2.59,7.26
16609,9,4.00,2.75,9.61
16952,1,-1.80,3.33,10.28
17323,6,4.82,-0.75,9.26
17680,14,-3.22,0.90,8.24
18052,7,0.71,-4.90,8.63
18408,3,-2.63,-1.92,6.43
18780,3,-0.31,2.67,9.53
19137,6,3.14,0.47,12.87
19494,4,0.51,1.45,11.49
19851,4,0.51,0.43,6.59
20194,1,1.61,-1.61,10.40
20566,4,-0.82,1.33,8.75
20923,18,0.08,-1.53,7.53
21294,5,2.51,-3.53,10.16
21665,3,-1.06,-1.84,8.98
22037,7,0.47,-2.79,9.61
22394,18,1.73,0.43,9.41
22751,23,-0.55,0.90,7.85
23122,1,0.12,0.75,8.98
23465,1,3.02,1.84,10.87
23823,5,0.08,-1.65,10.16
24194,9,1.61,3.65,10.43
24551,9,0.75,-2.47,8.59
24908,12,0.86,-1.26,8.47
25280,5,-3.10,4.12,6.94
25636,5,-3.10,2.20,7.18
25994,5,2.75,-0.86,11.49
27180,6,-2.98,-2.04,9.49
27551,6,-3.14,3.02,7.45
27908,5,-0.20,-0.75,7.88
28279,2,2.51,1.18,10.51
28637,3,-2.90,2.16,7.49
28994,1,1.33,1.06,10.08
29350,5,-0.04,0.31,9.49
29708,7,1.61,-0.24,10.08
30080,5,-0.04,1.22,8.28
30437,4,2.20,-1.61,9.65
30793,1,-1.26,2.51,7.41
31151,6,-0.86,-1.02,10.20
31537,4,2.47,0.78,9.57
31880,10,2.31,-1.06,10.63
32265,14,1.18,0.90,10.16
32636,3,-0.90,0.43,7.73
32994,1,2.47,-1.33,9.73
33350,4,-1.37,0.78,6.94
33708,2,-0.55,1.29,8.94
34065,6,1.02,-0.39,10.67
34437,2,1.33,-0.24,9.69
34793,2,-2.00,-1.26,8.71
35165,2,-4.39,2.94,7.06
35522,7,1.84,0.04,10.67
35879,1,-2.79,-0.86,9.22
36250,5,-0.43,3.37,7.69
36608,15,-2.08,2.71,6.98
36979,6,-0.35,3.02,8.08
37336,4,3.10,-0.31,10.08
37707,7,-0.78,0.08,8.79
38065,2,-1.61,1.84,7.37
38422,8,-3.14,3.14,6.94
38778,6,-2.04,0.63,8.24
39136,2,-2.43,1.88,7.22
39493,1,-2.28,2.28,7.06
39851,10,2.59,0.04,10.59
40221,11,-2.31,1.73,6.86
40593,2,-3.96,3.77,7.22
40950,1,2.82,1.61,10.67
41308,2,2.47,0.00,9.85
41650,9,-2.67,3.84,6.83
42007,7,-1.26,1.65,8.71
42364,3,-4.16,1.61,7.14
42722,6,0.12,0.94,9.61
43065,1,0.55,-1.33,10.12
43436,1,-1.84,2.12,7.22
43793,5,-2.82,0.86,7.53
44150,13,-1.37,0.78,7.10
44521,12,0.31,5.06,7.69
44878,1,2.71,-1.33,9.85
45236,0,-1.61,3.96,6.86
45593,3,-0.16,-0.75,8.59
45964,6,3.84,-1.22,10.71
46336,2,-0.63,0.12,9.14
46693,8,0.12,0.12,10.59
47050,5,-0.67,-0.20,9.65
47421,7,2.98,-2.12,10.32
47793,2,-2.20,1.02,8.47
48150,5,3.73,-0.35,10.71
48522,0,2.75,-1.45,9.89
48878,8,-0.12,-0.43,10.75
49264,2,2.28,1.80,9.81
49607,1,0.20,0.16,10.67
49964,1,0.71,-1.02,9.81
50321,10,-1.65,3.57,6.86
50693,10,3.69,0.71,10.55
51064,4,1.49,2.00,10.12
51421,8,-0.67,0.20,8.63
51778,1,-2.20,2.04,7.22
52135,0,-3.18,0.51,8.43
52493,0,-2.71,-0.67,9.10
52864,6,1.33,-0.35,9.77
53221,2,2.08,-2.24,9.30
53578,8,-0.16,-0.75,9.73
53950,7,0.55,3.41,9.14
54292,4,-0.98,3.02,8.04
54649,4,-1.80,1.22,7.02
55007,6,-0.78,1.45,8.28
55364,12,-2.35,1.37,8.20
55735,7,1.84,0.78,10.12
56092,0,-0.71,-1.77,8.94
56464,0,1.61,1.14,9.96
56807,10,-2.79,0.98,9.69
57178,7,-1.10,-1.37,9.18
57549,1,0.39,2.04,10.40
57907,1,-2.04,1.29,9.34
58264,5,-4.16,2.79,7.30
58620,7,1.02,0.71,10.00
58978,3,-4.94,2.47,7.22
59335,9,0.67,0.78,8.59
59678,3,2.79,0.39,10.67
60035,6,-0.98,-0.78,8.79
60406,2,-1.61,3.02,6.94
