timestamp,media_mic,std_mic,media_ax,std_ax,media_ay,std_ay,media_az,std_az
1224,4.2000,2.0000,0.1867,3.0771,0.5790,1.1984,8.9452,0.6097
2120,4.5200,3.7749,0.2103,3.2216,0.4911,1.2192,8.8087,0.5461
3006,4.5600,3.4068,-0.5429,2.4585,0.7704,1.3350,8.8213,0.6234
3906,3.7200,3.0400,-1.0262,2.6757,0.4378,1.1049,8.9233,0.6141
4805,4.7200,3.7685,0.0832,3.4846,0.3389,1.6889,8.7397,0.7270
5691,4.8800,3.9529,-0.3342,2.8753,0.4943,1.5488,8.8699,0.6256
6591,4.8400,2.9756,0.3844,2.9379,0.3954,1.2630,8.6612,0.5796
7477,4.7600,3.1910,0.2275,2.8609,0.5335,1.4710,8.7397,0.5250
8363,5.2000,3.6986,-1.3635,3.3065,0.9571,1.3478,9.0755,0.6728
9263,5.6800,3.8233,-0.7484,2.4538,0.8661,0.9330,8.8056,0.5911
10163,4.9200,3.6978,-1.0528,3.1508,0.7641,1.3898,8.8903,0.5187
11077,3.5600,3.0735,-0.0769,3.1357,0.5978,1.1186,8.8527,0.5154
11991,3.3600,2.4311,-0.4048,3.0371,0.4064,1.4540,8.6989,0.5090
12905,5.9600,4.7030,-0.4315,1.5395,0.7924,1.0914,8.7821,0.4361
13819,7.1200,4.5635,-0.0894,1.5511,0.1977,0.8210,8.7664,0.3993
14734,4.0800,2.2076,0.0769,2.5032,0.3060,1.0488,8.8197,0.4288
15634,6.6000,4.0000,-0.0863,2.6580,0.7516,1.3101,8.9154,0.3846
16548,7.9600,3.8728,-0.5382,3.1233,0.6308,1.3739,8.8887,0.6005
17462,6.0000,4.4000,-0.1161,2.3545,0.7390,1.1301,8.7946,0.3156
18376,4.1200,3.4330,-0.2573,1.7056,0.8708,1.0826,8.8401,0.3894
19291,3.6800,2.8666,-0.1914,1.8912,0.5821,1.2548,8.7491,0.4490
20205,5.7200,3.9448,-0.3295,1.4299,0.6166,1.0191,8.8244,0.4594
21118,4.4800,3.1638,-0.7484,1.9710,0.3813,0.9685,8.7569,0.3689
22033,5.3600,3.4279,-0.3844,1.6651,0.2981,1.0536,8.7522,0.3152
22947,2.7200,2.4416,0.1899,1.7378,0.2809,1.0912,8.8480,0.4048
23847,4.2800,2.6156,0.1255,1.9858,0.3107,0.9844,8.6408,0.3970
24748,5.7200,3.6499,-0.7280,1.8629,0.8379,1.1475,8.8636,0.5335
25662,5.0000,3.7523,0.2589,2.3818,0.6025,1.1180,8.7585,0.4015
26562,4.0800,2.7411,-0.6323,1.9166,0.8489,0.8694,8.8966,0.4399
27475,4.4400,4.0800,0.2055,2.0339,0.5680,1.2838,8.7318,0.5195
28376,4.0800,2.7989,-0.5696,2.6134,0.6229,1.1773,8.8213,0.3055
29290,6.2400,3.7017,0.5131,1.8473,0.3766,0.8230,8.7507,0.3948
30190,5.9200,4.5688,-0.2620,1.8803,0.6104,1.1385,8.8652,0.3720
31105,5.3200,3.1965,-0.0063,1.4875,0.5413,1.1175,8.7428,0.4932
32019,4.7600,3.1910,0.0973,1.6042,0.4676,1.1888,8.7303,0.3685
32918,4.9200,2.4482,0.0502,1.8742,0.6527,0.8990,8.7099,0.3207
33818,5.0000,3.4641,-0.4456,2.0634,0.6308,0.9795,8.7915,0.4138
34733,3.1200,1.9661,-0.0832,2.0569,0.6825,1.0841,8.7083,0.3681
35647,5.6800,3.5857,-0.5649,1.9821,0.3295,0.8663,8.8683,0.4029
36561,4.2800,3.5159,0.1993,1.5510,0.3672,1.1758,8.7993,0.3513
37462,4.8000,3.1623,-0.3185,1.7579,-0.0816,0.8905,8.7318,0.4181
38389,3.7600,2.8324,-0.0832,1.8011,0.8740,1.1761,8.7789,0.3396
39304,3.2400,2.6424,-0.2385,1.3312,0.5711,0.8010,8.8715,0.3332
40218,6.8400,4.5841,0.6810,1.7387,0.2730,1.1072,8.5828,0.4099
41118,5.7200,3.8212,-0.1271,1.3274,0.7014,1.0934,8.7334,0.2869
42033,5.8800,3.5250,-0.1177,1.4112,0.7280,1.2376,8.6471,0.3771
42946,3.8400,2.5562,-0.0863,1.2187,0.2714,1.0683,8.7946,0.3380
43860,5.0000,3.2985,-0.0706,1.2750,0.4535,1.0508,8.6801,0.3702
44775,6.0000,3.2741,-0.6088,1.2468,0.4848,1.2512,8.7554,0.3101
45689,4.5600,3.5449,-0.1977,1.2311,-0.0126,1.1548,8.7836,0.3112
46618,6.1600,5.2206,-0.3452,1.3235,0.8661,1.3834,8.6816,0.3238
47532,6.1600,4.4513,-0.3734,1.7124,0.9085,1.0211,8.6832,0.4038
48446,4.9600,3.9646,0.0769,1.2606,0.2307,1.1307,8.7146,0.3899
49346,5.8800,4.5459,0.0439,1.4879,0.4205,1.3823,8.7036,0.3336
50246,4.7200,4.7960,-0.1522,1.5228,0.4629,1.1785,8.7695,0.3636
51161,4.4400,3.1759,0.2966,1.3614,0.5696,1.2384,8.7381,0.3506
52061,4.0000,2.6833,-0.6088,1.4302,0.5758,1.4707,8.7491,0.3859
52975,4.6000,3.9900,-0.5539,1.2096,0.2369,1.1363,8.8040,0.3993
53889,4.2400,3.5808,-0.1192,1.2550,0.2573,1.2679,8.6408,0.4079
54803,6.0800,3.7833,0.2040,1.1628,0.4095,1.3452,8.7005,0.4300
55703,4.2400,3.2776,-0.4111,1.5240,0.5931,1.0396,8.7946,0.3196
56617,4.6000,3.7523,-0.4535,1.4076,0.8112,1.0940,8.8684,0.2859
57532,4.6800,3.0557,0.4362,1.6353,0.1961,1.5361,8.7036,0.2845
58431,3.1600,3.5063,-0.6292,1.1091,0.4927,1.0452,8.8856,0.3353
59345,5.1600,4.2678,-0.7579,1.4550,0.9085,1.0733,8.8778,0.3246
60260,3.7600,2.6725,0.0612,1.2642,0.2699,0.9748,8.7428,0.3807
61160,3.8800,3.0766,-0.0612,1.5251,0.2134,1.2172,8.6330,0.3656
62074,4.2800,3.1814,0.1491,1.4731,0.3530,1.5017,8.5985,0.4501
62974,4.6000,4.2143,-0.1004,0.9816,0.4582,1.1900,8.7083,0.3461
63888,3.5200,2.6999,-0.1318,1.5386,0.5915,1.1524,8.6926,0.4497
64802,4.6000,2.7129,0.6198,1.3578,0.2463,1.1009,8.6157,0.3410
65702,7.3200,5.3195,0.0267,1.4261,0.8285,1.2832,8.8370,0.3849
66603,5.6400,3.4972,-0.5476,1.2391,0.5084,0.9684,8.8480,0.3648
67517,3.5600,2.4508,-0.2589,1.6972,0.6825,1.0760,8.7130,0.2984
68431,5.4400,4.0702,-0.4362,1.5835,0.6119,1.2309,8.6471,0.4165
69345,4.5200,3.4999,-0.1334,1.9399,0.8850,0.8143,8.6612,0.3545
70259,8.1600,4.0267,-0.2024,1.5217,0.5915,0.9777,8.7177,0.4038
71174,3.8400,3.4604,-0.3436,1.4922,0.5194,0.7363,8.8072,0.4296
72088,5.4400,3.8061,0.0330,1.7922,0.5115,0.8507,8.6926,0.3252
72988,5.0400,2.9864,-0.0989,1.3796,0.2542,1.0035,8.7036,0.3535
73902,4.8800,3.4446,-0.3279,1.3785,0.4974,0.9172,8.6958,0.3515
74816,4.3200,3.0818,0.1742,1.3270,0.2746,0.8628,8.6393,0.2801
75716,5.5600,4.0996,0.3217,1.6187,0.2275,0.9899,8.7193,0.2427
76616,4.8000,3.6551,-0.3781,1.2632,0.2573,0.8115,8.7428,0.3833
77531,4.2800,3.0003,-0.6590,1.2762,0.6684,0.8351,8.7224,0.3954
78445,4.7200,3.6826,-0.0769,1.2881,-0.0204,0.9035,8.7083,0.3016
79373,5.8800,3.9832,0.1930,1.2362,0.5241,0.7844,8.5765,0.3540
80273,4.1200,2.8046,-0.1710,1.2018,0.8143,0.8639,8.6110,0.3343
81187,4.3200,2.4285,-0.1914,1.2631,0.5209,0.9646,8.7805,0.3713
82102,6.0000,4.1569,-0.2008,1.5350,0.6794,0.7720,8.6236,0.2907
83016,6.2400,4.5280,-0.2950,1.2783,0.6151,1.1985,8.5875,0.3668
83931,5.3600,3.2849,-0.1177,1.4904,0.6559,0.7597,8.7146,0.3337
84844,5.3600,4.5859,-0.1067,1.2192,0.0016,0.8991,8.6675,0.3232
85758,5.8800,3.9428,-0.0251,1.3084,0.4864,0.9257,8.7397,0.3634
86673,3.3200,2.8386,0.0581,1.5742,0.3750,0.9649,8.7758,0.3650
87573,5.0400,2.9186,-0.9838,1.2760,0.5696,0.9293,8.8150,0.2657
88487,5.5200,5.2697,-1.0827,1.5697,0.7971,0.8559,8.7569,0.3166
89402,4.6000,3.5214,-0.6700,1.4110,0.5884,0.9560,8.7413,0.3403
90315,6.4800,4.7843,-0.4017,1.6056,0.5853,0.8625,8.7899,0.2745
91230,5.2800,4.2097,-0.4346,0.9760,0.4315,1.2234,8.6973,0.3217
92144,5.1600,3.2085,-0.3813,1.0330,0.5413,1.4857,8.7224,0.4031
93059,4.0800,3.3096,0.1679,1.2474,0.4974,0.9604,8.6832,0.3751
93959,3.6800,2.7382,-0.3154,1.5257,0.6104,1.0325,8.6189,0.4106
94872,3.3200,3.7172,-0.6747,1.2006,0.3013,1.0582,8.7773,0.2955
95787,3.6800,3.4377,-0.4127,1.3308,0.7124,0.6873,8.6487,0.3509
96701,5.8400,4.0366,-0.2824,1.1437,0.9320,0.7873,8.6801,0.2750
97615,5.7600,4.3843,0.1271,1.4585,0.2871,1.1108,8.5624,0.3086
98515,5.3200,3.7387,0.5758,1.7158,0.3907,0.9290,8.6126,0.3514
99416,5.8000,3.9900,0.0989,1.5865,0.5617,0.8443,8.6173,0.2800
100315,4.8400,3.1455,0.1051,1.5494,0.2275,0.7056,8.5687,0.2971
101229,4.5600,2.9405,-0.2589,1.3742,0.6072,0.9944,8.7460,0.3307
102158,5.4800,3.4885,-0.8034,1.0002,0.2275,1.1726,8.7005,0.3980
103087,6.0800,3.8462,0.3232,1.3728,0.3985,0.8591,8.4996,0.3651
104001,4.6000,3.6222,-0.2542,1.5364,0.7500,1.1706,8.7538,0.2566
104929,4.1600,2.9486,-0.7830,1.6256,0.7610,1.0576,8.5828,0.4101
105858,6.0800,4.1754,-0.1287,1.4324,0.3876,1.0007,8.6393,0.4031
106786,5.6800,3.2707,-0.5743,1.2952,0.8269,0.9860,8.6063,0.3621
107715,6.5200,4.3829,-0.0235,1.2132,0.3185,0.9937,8.6142,0.3976
108643,5.0000,3.2741,-0.3405,1.1245,0.5758,1.1422,8.7679,0.3332
109572,3.4800,3.0347,-0.8096,1.3756,0.6010,0.7810,8.6095,0.3595
110500,5.0800,2.3651,-0.1287,1.4060,0.4001,0.8955,8.7522,0.3874
111429,3.3200,2.9082,-0.1036,1.4070,0.4958,1.2345,8.6503,0.3614
112357,4.5600,4.3458,0.2197,1.0513,0.4346,1.2585,8.7318,0.3177
113271,4.9600,3.0263,0.0314,1.5033,0.5539,1.2450,8.6926,0.2604
114186,3.8800,2.9027,-0.3232,1.3352,0.6763,1.2652,8.6769,0.3069
115115,5.4000,4.9153,-0.2150,1.3349,0.5633,1.4340,8.6408,0.4262
116043,5.1200,3.8711,-0.2024,1.6761,0.7202,1.4080,8.7460,0.2936
116971,4.0000,2.8566,0.1098,1.6777,0.7673,1.2029,8.6801,0.4009
117885,4.2800,3.1435,-0.3593,1.3365,0.9367,1.4929,8.7726,0.4320
118814,4.1600,2.8380,0.0141,1.3555,0.8253,1.3025,8.7162,0.4033
119729,5.6400,4.0976,-0.0314,1.1765,0.2416,1.4933,8.6189,0.3213
120656,4.5600,3.3116,-0.1349,1.4805,1.6867,1.2514,8.8260,0.3536
121585,5.0800,3.6213,-0.3970,1.6892,0.4017,1.5989,8.7036,0.2494
122514,5.1600,4.0068,-0.4644,1.7829,0.3844,1.3221,8.6958,0.3902
123443,4.3600,3.1985,-0.2526,1.4116,0.7939,1.0523,8.7413,0.3927
124371,6.4400,3.7638,-0.4331,1.4485,0.6088,1.2105,8.6659,0.4297
125299,3.8000,2.6533,-0.3499,1.7425,0.3358,1.3763,8.6000,0.3768
126228,4.8800,3.4213,0.0141,1.9614,0.2840,1.6130,8.5953,0.3131
127142,4.1600,3.2457,-0.1883,1.6271,0.4315,1.5248,8.6314,0.3812
128071,3.5200,2.6701,0.0926,1.8165,0.6590,1.3062,8.7852,0.3724
128985,4.4800,3.8897,-0.6637,1.6159,-0.0785,1.6082,8.5341,0.4102
129928,4.9200,3.5991,0.1930,1.7637,0.5084,1.3964,8.5969,0.3938
130842,4.3200,3.0557,0.4597,1.6166,0.9038,1.5760,8.6565,0.4149
131757,4.9600,2.9997,-0.1569,1.7449,0.3170,1.7274,8.5687,0.3318
132685,6.2400,4.4836,-0.0612,1.3868,0.6684,1.6134,8.7240,0.3412
133613,6.1200,4.2457,-0.2228,1.4549,0.3201,1.4392,8.6157,0.4275
134542,3.1200,2.1600,0.2259,1.3332,0.4236,1.0329,8.6283,0.3285
135456,3.6400,2.4146,-0.8755,1.3873,0.8096,1.1566,8.7930,0.3764
136385,5.8000,4.0299,-0.3750,1.6505,0.5288,1.4010,8.7224,0.3478
137313,5.6800,3.6301,-0.0737,1.5840,0.7751,1.1600,8.6487,0.3638
138242,4.5600,3.4185,-0.3264,1.4728,0.5711,1.2472,8.6189,0.2692
139170,5.2800,3.6608,-0.5037,1.4536,0.5241,1.2201,8.6895,0.3672
140099,4.0800,3.2486,-0.0737,1.2518,0.7861,1.0554,8.7209,0.3583
141027,6.4800,4.1677,-0.2228,1.1689,0.6465,1.3155,8.6157,0.4049
141956,4.6400,4.2884,-0.3028,1.3920,0.5413,0.9748,8.5796,0.3615
142884,5.1200,3.2658,-0.0078,1.0760,0.4001,1.3718,8.6895,0.2818
143813,4.4400,4.2903,-0.5209,1.3151,0.8991,1.5564,8.6424,0.3011
144742,3.1600,2.7376,0.1883,1.2419,0.5382,1.2154,8.5812,0.3558
145655,5.0800,3.2854,-0.4801,1.4539,0.8928,1.1659,8.6440,0.3354
146584,4.4000,3.6222,-0.1459,1.3072,0.3734,0.6224,8.6047,0.2802
147513,4.4800,2.7874,-0.4142,1.3504,0.5962,0.9534,8.6863,0.3718
148442,3.9200,2.7556,-0.3436,1.4635,1.0309,0.9711,8.7256,0.3624
149369,5.0400,3.5268,-0.6010,1.1335,0.5413,0.8375,8.5938,0.4215
150298,5.1200,4.2078,-0.6323,1.2224,0.6559,1.2512,8.7444,0.3304
151227,4.6800,2.6339,-0.0345,1.6766,0.5915,0.9016,8.7601,0.3980
152156,4.8000,3.5214,-0.2526,1.1081,0.2793,1.0272,8.6738,0.3956
153083,3.6000,2.4495,0.1899,1.3256,0.8897,1.0490,8.6095,0.3447
153998,5.4400,3.7638,-0.2809,1.5274,0.0204,0.7782,8.6299,0.3278
154927,4.1600,3.7168,-0.3703,1.3784,0.3515,1.5606,8.5734,0.4196
155855,3.4400,1.8348,-0.9430,1.3325,0.5978,1.3430,8.6581,0.3914
156784,5.2400,2.6120,-0.0439,1.3225,0.7547,1.0950,8.6816,0.3734
157712,3.8400,2.5248,-0.2620,1.3429,0.5931,1.0958,8.6722,0.3482
158641,4.4000,4.2048,0.0690,1.4816,0.1679,1.0360,8.5953,0.3592
159555,5.1600,3.4604,-0.5068,1.6517,0.0455,1.0428,8.7460,0.3686
160484,5.2000,3.1496,-0.2416,1.1738,0.5507,1.1060,8.6095,0.3840
161412,3.9600,2.5057,-0.0612,1.3526,0.2950,1.0175,8.5059,0.2856
162340,4.9200,3.1613,-0.4472,1.1430,0.4080,1.2685,8.6408,0.3938
163269,6.4400,3.6778,-0.1773,1.3000,0.6465,1.0848,8.6189,0.3758
164198,6.0800,3.9081,0.1726,1.2173,0.7092,1.0745,8.6675,0.3537
165112,4.6000,3.1369,0.0094,1.1541,0.1883,0.8488,8.6534,0.3700
166026,3.2000,2.4658,0.0973,1.3762,0.3232,0.7962,8.5530,0.2911
166940,3.3600,1.9571,-0.3938,1.1938,0.2071,0.8294,8.6550,0.3473
167869,4.0400,2.8493,-0.1491,1.2393,0.5099,1.1029,8.6095,0.3816
168798,4.0800,3.1739,-0.1804,1.3335,0.6339,1.2840,8.6832,0.3772
169725,5.4800,3.8794,0.0188,1.4531,0.3044,1.1428,8.5875,0.3380
170640,5.9600,5.1806,-0.0486,1.5007,0.3923,1.0093,8.6330,0.4135
171569,7.0400,3.9848,-0.3813,1.5578,0.4566,0.9132,8.7271,0.3963
172497,6.0000,5.6780,-0.1318,1.5527,0.3876,0.8574,8.6346,0.3756
173425,3.7600,3.3856,0.0706,0.9733,0.5319,0.9103,8.5514,0.3918
174340,4.4800,4.2532,0.0141,1.2982,0.3593,0.7380,8.5969,0.3629
175254,3.8400,2.4606,0.0989,1.5416,0.4331,1.1394,8.6110,0.3717
176168,4.8400,3.1709,0.3656,1.4701,0.4566,0.9476,8.6628,0.3683
177083,5.0000,3.2985,-0.3844,1.1446,0.5915,0.9162,8.6706,0.3060
178011,4.6000,4.4900,0.1867,1.2296,0.6292,1.0987,8.5828,0.2824
178925,4.8000,2.8000,0.0330,1.1608,0.6606,1.1150,8.5875,0.3629
179840,4.3600,3.0051,-0.0094,1.4467,0.5507,0.9771,8.5969,0.4097
180768,5.0800,3.2486,-0.0628,1.3643,0.5131,0.9633,8.7146,0.3538
181697,6.2400,4.3752,-0.2573,0.9630,0.3311,0.9979,8.5530,0.4654
182625,4.0400,2.5997,-0.1946,1.2935,0.5084,0.8969,8.5922,0.3222
183554,5.5600,3.3236,-0.4535,1.1017,0.4064,0.8368,8.6518,0.3811
184482,3.1600,2.3440,0.0126,1.4654,0.2871,0.7379,8.6503,0.2798
185397,4.5200,3.4999,-0.1820,1.4497,0.4440,0.8421,8.7052,0.3665
186326,5.0400,3.1174,0.1020,1.7766,0.6527,0.9772,8.5624,0.2905
187239,5.0000,3.3347,-0.4503,1.2865,0.7265,0.7240,8.6706,0.3157
188168,5.8800,4.4210,0.2605,1.2001,0.7469,0.9672,8.7318,0.4104
189082,4.6000,4.1857,-0.4488,1.0219,0.6370,0.6940,8.6346,0.3615
190011,3.8800,2.2684,-0.4080,1.1549,0.5288,1.0206,8.5985,0.3416
190939,3.8400,3.2702,-0.6104,1.0829,0.2212,0.6142,8.8087,0.3308
191867,4.6000,3.8678,-0.0581,1.2217,0.5523,0.7146,8.6816,0.4255
192796,5.6400,3.9485,0.1208,1.4275,0.6213,1.0997,8.6157,0.3698
193711,5.3600,4.3715,0.0094,1.5207,0.3954,0.9177,8.4933,0.3853
194625,5.0800,3.6652,-0.2526,1.2509,0.2667,1.3999,8.6518,0.3823
195553,4.0000,3.0067,-0.3781,1.4330,0.7767,1.1196,8.6675,0.3241
196482,5.6000,3.2496,-0.2212,1.0522,0.3468,1.1929,8.6330,0.3443
197410,6.5600,4.1769,-0.3562,1.3894,0.4189,0.9359,8.6550,0.4291
198339,7.2000,5.1069,0.0157,1.4114,0.6135,1.1447,8.6471,0.2998
199252,5.0800,3.8979,-0.2401,1.0680,0.5554,1.0659,8.5043,0.5136
200181,5.4000,3.6551,-0.3907,1.1055,0.5084,1.1095,8.5953,0.4193
