timestamp,media_mic,std_mic,media_ax,std_ax,media_ay,std_ay,media_az,std_az
1224,3.2000,3.0067,0.0298,0.0356,0.6669,0.0484,8.5969,0.0562
2120,6.1200,3.4096,0.0220,0.0334,0.6355,0.0314,8.5985,0.0384
3005,6.2000,3.7417,0.0126,0.0214,0.6292,0.0235,8.5812,0.0389
3891,5.2800,3.8107,0.0094,0.0230,0.6072,0.0225,8.5734,0.0334
4776,3.0800,2.4153,0.0047,0.0202,0.6135,0.0398,8.5781,0.0363
5662,4.3600,3.5764,0.0063,0.0213,0.6010,0.0183,8.5734,0.0315
6548,4.0000,2.8844,0.0047,0.0231,0.5900,0.0282,8.5781,0.0328
7434,6.1200,3.4562,-0.0031,0.0220,0.5978,0.0319,8.5765,0.0366
8334,4.7600,3.4673,0.0282,0.0208,0.6433,0.0351,8.6079,0.0431
9220,5.2400,3.7017,0.0282,0.0261,0.6339,0.0264,8.6095,0.0417
10105,5.2000,2.5298,0.0204,0.0251,0.6292,0.0282,8.6079,0.0352
11005,4.2800,3.3048,0.0047,0.0169,0.6151,0.0380,8.5765,0.0692
11905,4.6800,3.3671,-0.0078,0.0192,0.5947,0.0264,8.5812,0.0389
12819,4.6000,3.9497,-0.0110,0.0176,0.5962,0.0384,8.5749,0.0484
13733,5.6000,3.6986,0.0251,0.0245,0.6559,0.0360,8.5985,0.0415
14633,3.3200,2.3447,-0.0126,0.0183,0.5868,0.0282,8.5734,0.0315
15548,5.4800,3.8379,0.0361,0.0190,0.6653,0.0323,8.6095,0.0431
16448,3.2400,2.9432,-0.0126,0.0183,0.5790,0.0299,8.6000,0.0356
17362,3.8800,3.0766,0.0330,0.0213,0.6763,0.0278,8.6157,0.0413
18262,4.6400,2.9104,-0.0078,0.0222,0.5821,0.0327,8.5922,0.0303
19176,6.6400,4.7234,0.0204,0.0251,0.6684,0.0359,8.5969,0.0615
20076,5.4400,3.3951,-0.0126,0.0183,0.5994,0.0208,8.6016,0.0304
20990,5.1200,3.1789,0.0016,0.0175,0.6010,0.0346,8.5687,0.0533
21891,3.6800,2.6187,-0.0157,0.0192,0.5884,0.0222,8.6047,0.0331
